Date,Open,High,Low,Close,Adj Close,Volume
2023-02-07,3.061243,3.156103,3.051958,3.148226,3.148226,8284480
2023-02-08,3.148375,3.403126,3.144559,3.268670,3.268670,31475184
2023-02-09,3.274674,3.287732,2.923997,2.967579,2.967579,13535264
2023-02-10,2.968219,3.037184,2.932338,2.953968,2.953968,5101498
2023-02-11,2.953579,3.066541,2.934507,3.044355,3.044355,6022694
2023-02-12,3.044472,3.075445,2.965460,2.995009,2.995009,5106114
2023-02-13,2.995361,3.090946,2.909736,2.976414,2.976414,9128768
2023-02-14,2.976500,3.102352,2.953369,3.081192,3.081192,10719775
2023-02-15,3.081699,3.144144,3.051528,3.132635,3.132635,9583755
2023-02-16,3.132795,3.202427,3.039621,3.039621,3.039621,12820451
2023-02-17,3.047178,3.135526,3.036718,3.117662,3.117662,7592201
2023-02-18,3.117977,3.140062,3.095481,3.116310,3.116310,6450269
2023-02-19,3.116150,3.128908,3.059287,3.103179,3.103179,7964871
2023-02-20,3.103416,3.237182,3.066752,3.189127,3.189127,14517003
2023-02-21,3.188537,3.233135,3.054415,3.077872,3.077872,13121166
2023-02-22,3.077955,3.091561,2.930440,3.013840,3.013840,12838358
2023-02-23,3.013400,3.026428,2.921373,2.940458,2.940458,10037021
2023-02-24,2.940484,3.042469,2.780754,2.820153,2.820153,15929875
2023-02-25,2.816528,3.138353,2.795627,2.867428,2.867428,32218168
2023-02-26,2.867167,2.892611,2.830149,2.850144,2.850144,7169594
2023-02-27,2.849820,2.879448,2.798812,2.817455,2.817455,7263208
2023-02-28,2.817823,2.840056,2.692420,2.697998,2.697998,6365903
2023-03-01,2.698159,2.808577,2.683607,2.784446,2.784446,5859444
2023-03-02,2.784487,2.792404,2.694533,2.726403,2.726403,4593467
2023-03-03,2.726244,2.728553,2.541716,2.605028,2.605028,6303770
2023-03-04,2.605559,2.683413,2.558597,2.599373,2.599373,7053679
2023-03-05,2.599247,2.641712,2.558555,2.569053,2.569053,4011987
2023-03-06,2.568080,2.604526,2.529443,2.587482,2.587482,5115699
2023-03-07,2.587372,2.660570,2.532520,2.629209,2.629209,11356121
2023-03-08,2.628450,2.638106,2.479871,2.487099,2.487099,9350920
2023-03-09,2.487433,2.538994,2.340249,2.377826,2.377826,6419835
2023-03-10,2.382995,2.383749,2.206421,2.313978,2.313978,6850771
2023-03-11,2.313529,2.363007,2.244509,2.328307,2.328307,6508663
2023-03-12,2.328020,2.422032,2.286085,2.417803,2.417803,5603085
2023-03-13,2.420319,2.479886,2.337421,2.466361,2.466361,7830451
2023-03-14,2.466327,2.553962,2.428431,2.454749,2.454749,9382442
2023-03-15,2.452190,2.621378,2.399716,2.451802,2.451802,20242556
2023-03-16,2.450205,2.460888,2.384374,2.419815,2.419815,7134551
2023-03-17,2.419987,2.478064,2.398101,2.476028,2.476028,6443686
2023-03-18,2.476106,2.514852,2.429473,2.478010,2.478010,6729823
2023-03-19,2.475690,2.524918,2.448629,2.448629,2.448629,8603030
2023-03-20,2.448248,2.464993,2.344870,2.357431,2.357431,5827553
2023-03-21,2.357838,2.399201,2.321874,2.377900,2.377900,4456461
2023-03-22,2.379656,2.382537,2.232528,2.291119,2.291119,4741787
2023-03-23,2.291096,2.349145,2.269729,2.342889,2.342889,3926087
2023-03-24,2.343399,2.442904,2.251533,2.334386,2.334386,11588141
2023-03-25,2.333078,2.345970,2.242249,2.270634,2.270634,7171578
2023-03-26,2.263954,2.303404,2.263954,2.288699,2.288699,3972413
2023-03-27,2.288565,2.339526,2.191358,2.232642,2.232642,7800778
2023-03-28,2.239086,2.257553,2.200349,2.256816,2.256816,4506260
2023-03-29,2.256836,2.301096,2.250793,2.295294,2.295294,4979871
2023-03-30,2.295926,3.823003,2.262078,2.872485,2.872485,223673625
2023-03-31,2.873307,2.919052,2.608562,2.671664,2.671664,48116750
